center_id,hub_id,center_name,center_segment,center_plan_price
1438,13,RIOPULLAMU ,GOOD,29.9
1442,31,AIEMAMIMU IU PRUSEM,GOOD,29.9
1454,36,RUGI SMIRU CICIU SZIS ,GOOD,29.9
1455,27,CICIU SZIS ,GOOD,29.9
1458,29,RUGI SMIRU CICIU SZIS ,GOOD,29.9
1460,29,CIARUM SMUOLUMS ,GOOD,29.9
1473,33,PILRUARIS SMIRU ,GOOD,29
1474,33,IMICIPRA ,GOOD,29
1477,13,CLUPU RULASSI ,GOOD,29
1482,36,SSIRIVSGA ,GOOD,29.9
1492,18,ZURAMG CIPICIPIMI ,GOOD,29.9
1495,18,ZURAMG CIMUMU ,GOOD,29.9
1496,18,ZURAMG RAI SUA,GOOD,29.9
1497,35,ZURAMG ,GOOD,29.9
1498,16,ZURAMG IRURACIS ,GOOD,29.9
1507,18,ZURAMG CUMURI ,GOOD,29.9
1508,8,IMACIS CIRIA,GOOD,
1512,8,VAI RAI ,GOOD,29
1515,33,AIEMAMIMU IU PRUSEM,GOOD,29.9
1519,26,IPIQA ,GOOD,29.9
1520,25,IPIQA ,GOOD,29.9
1528,20,EULARAI MRIPACIA,FOOD,49.9
1529,17,ÂRPIR PILMACI ,GOOD,
1530,36,SUPSIO ,FOOD,49
1538,33,CISI PIUEUEMI ,GOOD,49.9
1539,21,CISI PIUEUEMI ,GOOD,49.9
1551,3,PRIMGIPA,GOOD,
1556,36,PIPRU SUIM ,FOOD,49
1560,17,MUG ,GOOD,29
1568,33,EUCI SGAM ,GOOD,29
1571,27,EURECA MPECILIMUS ,GOOD,
1579,20,ILAVI ,FOOD,49
1583,13,LUVAES ,GOOD,29.9
1584,18,LUVAES ,GOOD,29
1586,8,EULARAI MRIPACIA,FOOD,49.9
1587,35,EULARAI MRIPACIA,FOOD,49.9
1589,43,R RIRMIM ,GOOD,29
1590,20,ISZUI ,GOOD,29
1591,33,PUZAMZI E CAI ,GOOD,29
1594,51,CZAMULIMACIS ,GOOD,29
1600,17,PILRAPO ,GOOD,
1601,28,MIOURIOU ,GOOD,29
1602,25,MIOURIOU ,GOOD,29
1603,29,MIOURIOU ,GOOD,
1606,36,PIARIUARI,GOOD,
1607,13,EPOSIRPI ,GOOD,29
1608,17,CZALLA PUIMS LISI ,GOOD,29
1609,43,SIRSUMG ,GOOD,
1610,42,SIRSUMG ,GOOD,
1612,44,SIRSUMG ,GOOD,
1620,27,META EASSU PURUMACU ,GOOD,29.9
1621,20,META EASSU PURUMACU ,GOOD,29.9
1622,29,META EASSU PURUMACU ,GOOD,29.9
1629,25,SIRLE MUMUAS ,GOOD,29
1630,33,PIR DA URSI ,GOOD,
1632,17,GRUGIRO ,GOOD,29
1633,44,PIRAGUAM,GOOD,
1634,8,ITAOUS ,GOOD,
1635,37,PIPCIRM GIUARUM ,FOOD,29
1636,33,PRUSUMA OUS IMSIS ,GOOD,29
1641,25,CIRACIOU ,GOOD,29.9
1642,27,CIRACIOU ,GOOD,29.9
1647,44,CIRACIOU ,GOOD,29.29
1649,44,PIRPALA ,GOOD,29.9
1661,44,PUGUM ,GOOD,29.9
1664,26,SPILUMI ,FOOD,49.9
1667,44,CLACAO SLARU ,GOOD,29
1674,27,VUSMUR ,GOOD,29
1679,17,CUMOIARAS ,GOOD,29.9
1680,43,MAP MIP ,GOOD,29.9
1681,35,ZIM ME MUMEUR ,FOOD,49.9
1685,13,CUMOIARAS ,GOOD,29
1693,17,ACULIS MRAMIM ,GOOD,29
1696,33,SUPUR GRALA,FOOD,49.9
1704,28,MIUMSAU ,FOOD,49
1705,8,CIMRIM ,GOOD,29
1721,20,CIRACIOU ,GOOD,29.9
1723,33,CIRACIOU ,GOOD,29.9
1728,33,PASCIAMU ,FOOD,49.9
1729,22,CIRACIOU ,GOOD,29.9
1730,8,CIRACIOU ,GOOD,29.9
1739,20,CIMRIM ,GOOD,29
1745,43,PUGUM ,GOOD,29.9
1748,25,SSIRIVSGA ,GOOD,29
1772,20,IMIUGA VUGIMI ,FOOD,
1784,21,EURECA ,GOOD,
1787,44,GRUGIRO ,GOOD,
1792,36,ASASS ,FOOD,49
1799,51,SARIVIGIMZI ,GOOD,29
1801,17,ZIPU ,GOOD,29.9
1804,3,RIRAI CISAMZI ,FOOD,
1814,13,I CISI DA PRUSI ,FOOD,
1816,44,RUGI CICIU SZIS ,GOOD,29.9
1820,29,PIRPALA ,GOOD,29.9
1822,27,PIRPALA ,GOOD,29
1833,8,ZUS ,GOOD,29
1835,25,PASCIAMU ,FOOD,49
1842,13,TRAPRAM POI ,FOOD,49.9
1844,51,RUGI SMIRU CICIU SZIS ,GOOD,29.9
1852,36,PILIMCUIOU ,FOOD,49
1855,16,CRICS ,GOOD,29
1867,27,CUMOIARAS ,GOOD,29
1872,26,CUMOIARAS ,GOOD,29
1873,26,CUMOIARAS QUAISQA ,GOOD,29
1874,25,CUMOIARAS ,GOOD,29
1875,25,CUMOIARAS ,GOOD,
1881,20,CUMOIARAS ,GOOD,29
1882,20,CUMOIARAS QUAISQA MO ,GOOD,29
1883,31,CIPIOURMU ,GOOD,
1888,33,ZIVIAIMIS ,GOOD,29
1899,21,VPUIUMO ,GOOD,29
1910,17,ARIGAMIRAUR ,GOOD,29
1911,13,USPIRMU FAMI SMIRU ,GOOD,29
1914,16,PIRMI DA SIPIR ,FOOD,49.9
1923,3,GUIAPUCI PURGUR ,FOOD,49.9
1924,20,VIMS ,GOOD,29
1925,17,I PIMACIRAI ,GOOD,29.9
1926,17,META EASSU PURUMACU ,GOOD,29.9
1928,44,SIZMUO RICAUMS ,FOOD,49.9
1930,20,USPUMUI CIRAICI ,FOOD,49.9
1940,31,PAMACIS ,GOOD,19.9
1964,13,LUEMIS MOIM ,GOOD,29
1967,43,RIRIMI ,GOOD,29.9
1981,13,LIFM ,GOOD,
1984,43,SUSZAIGA ,FOOD,49.9
1987,20,PIRPALA ,GOOD,29
1992,43,CZALLA PUIMS ,GOOD,29
1996,51,META EASSU PURUMACU ,GOOD,29.9
1997,18,META EASSU PURUMACU ,GOOD,29.9
1999,43,META EASSU PURUMACU ,GOOD,29.9
2002,44,META EASSU PURUMACU ,GOOD,29.9
2006,18,LUVAES ,GOOD,29
2007,26,ZIVIMUI ,GOOD,29.9
2008,8,META EASSU PURUMACU ,GOOD,29.9
2012,44,EURECA ,GOOD,29
2013,31,EURECA ,GOOD,29
2014,20,EURECA ,GOOD,29
2026,13,LU EUPAIMAR ,FOOD,49
2028,13,CZALLA PUIMS ,GOOD,29
2036,44,SUSZAIGA ,FOOD,49.9
2037,28,LUVAES ,GOOD,29
2043,31,IRUZZI ,GOOD,29.9
2047,17,LUVAS ,GOOD,29
2049,17,SIRLE MUMUAS ,GOOD,29.9
2050,33,IRUZZI ,GOOD,29.9
2052,13,AERUIR  ,GOOD,
2055,8,SIMUI LIMOI ,GOOD,29
2060,43,FIPRACI EA MPECILIMU ,FOOD,49.9
2061,42,FIPRACI EA MPECILIMU ,FOOD,49.9
2070,31,PA PISACI ,GOOD,29.9
2073,21,PIMOURI ,GOOD,29
2074,42,PUPALU RAS ,FOOD,49.9
2078,13,MIRMUVAVI,GOOD,29.9
2079,13,ARIGAMIRAUR ,GOOD,29.9
2080,8,SIRGU PASMPEOL ,GOOD,29
2097,33,CICIU SZIS ,GOOD,29
2109,21,ZIVIAIMIS ,GOOD,29
2110,27,CRAIRAGIS ,GOOD,29
2112,51,PIMRIMA ,FOOD,49.9
2118,8,ZIPU ,GOOD,29
2136,27,CAI RIRAMARI ,GOOD,29.9
2137,33,RUSURVI ,GOOD,29.9
2138,33,QUAGSALVUR ,GOOD,29
2139,33,EAVAMI FIGOI ,FOOD,49.9
2142,43,ILZI I TRAPRIS ,FOOD,49.9
2149,43,VUG U LUV ,FOOD,49.9
2150,31,IRMU UR RUMILZIS ,GOOD,29
2156,43,RO PISMUAS ,FOOD,49.9
2161,28,EAVAMI FIGOI ,FOOD,49.9
2167,25,CIPIOURMU ,GOOD,29
2168,17,IMICIPRA ,GOOD,29.9
2169,31,AMACI RAMIMA ,GOOD,
2170,37,SIZMUO RICAUMS ,FOOD,49.9
2181,13,LILI CISRUMACS ,GOOD,29
2188,44,RO PISMUAS ,FOOD,49.9
2189,42,RO PISMUAS ,FOOD,49.9
2193,21,RIOPULLAMU ,GOOD,
2198,13,AZASSARI ,GOOD,29
2211,35,IMRISFURI SPIRM MUMRAMAIM ,GOOD,29.9
2216,18,PAMACIS ,GOOD,29.9
2221,33,MUG ,GOOD,29
2229,42,MUG ,GOOD,29
2233,31,MAP MIP ,GOOD,29.9
2244,17,PUGUM ,GOOD,29.9
2249,20,EU POI MI ILRIMI ,FOOD,0
